127.0.0.1, 2015-07-05 14:21:45, GET, /dashboard/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000469
127.0.0.1, 2015-07-05 14:21:45, GET, /dashboard/static/js/jquery.js, HTTP/1.1, 200, 0.000339
127.0.0.1, 2015-07-05 14:21:45, GET, /dashboard/static/js/calendar.js, HTTP/1.1, 200, 0.000379
127.0.0.1, 2015-07-05 14:21:45, GET, /dashboard/static/css/calendar.css, HTTP/1.1, 200, 0.001505
127.0.0.1, 2015-07-05 14:21:45, GET, /dashboard/static/js/web2py.js, HTTP/1.1, 200, 0.000419
127.0.0.1, 2015-07-05 14:21:45, GET, /dashboard/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000321
127.0.0.1, 2015-07-05 14:21:45, GET, /dashboard/static/js/share.js, HTTP/1.1, 200, 0.000318
127.0.0.1, 2015-07-05 14:21:45, GET, /dashboard/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000369
127.0.0.1, 2015-07-05 14:21:45, GET, /dashboard/static/images/background.jpg, HTTP/1.1, 200, 0.000453
127.0.0.1, 2015-07-05 14:21:45, GET, /dashboard/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000458
127.0.0.1, 2015-07-05 14:21:45, GET, /dashboard/static/images/twitter.png, HTTP/1.1, 200, 0.000453
127.0.0.1, 2015-07-05 14:21:45, GET, /dashboard/static/images/facebook.png, HTTP/1.1, 200, 0.000484
127.0.0.1, 2015-07-05 14:21:45, GET, /dashboard/static/images/gplus-32.png, HTTP/1.1, 200, 0.000459
127.0.0.1, 2015-07-05 14:21:45, GET, /dashboard/static/images/favicon.ico, HTTP/1.1, 200, 0.000454
127.0.0.1, 2015-07-05 14:23:49, GET, /, HTTP/1.1, 303, 0.000516
127.0.0.1, 2015-07-05 14:23:49, GET, /welcome/default/index, HTTP/1.1, 200, 0.026380
127.0.0.1, 2015-07-05 14:23:56, GET, /dashboard/default/index, HTTP/1.1, 200, 0.028476
127.0.0.1, 2015-07-05 14:24:02, GET, /, HTTP/1.1, 303, 0.000999
127.0.0.1, 2015-07-05 14:24:02, GET, /welcome/default/index, HTTP/1.1, 200, 0.029426
127.0.0.1, 2015-07-05 14:24:04, GET, /dashboard/default/index, HTTP/1.1, 200, 0.026841
